,Date,next_day_close_increased,predictions_BTC_only,prediction_Tweet_only,prediction_News_only
183,2022-08-09,1,0,0.125,0.018867924528301886
184,2022-08-10,1,0,0.07692307692307693,0.027777777777777776
185,2022-08-11,1,0,0.125,0.02127659574468085
186,2022-08-12,1,0,0.16666666666666666,0.029411764705882353
187,2022-08-15,0,0,0.0,0.0
188,2022-08-16,0,0,0.0,0.0
189,2022-08-17,0,0,0.0,0.0
190,2022-08-18,0,0,0.0,0.0
191,2022-08-19,1,0,0.3333333333333333,0.02631578947368421
192,2022-08-22,1,0,0.16666666666666666,0.021739130434782608
193,2022-08-23,0,0,0.0,0.0
194,2022-08-24,1,0,0.2,0.022222222222222223
195,2022-08-25,0,0,0.0,0.0
196,2022-08-26,0,1,0.0,0.0
197,2022-08-29,0,0,0.0,0.0
198,2022-08-30,1,0,0.16666666666666666,0.021739130434782608
199,2022-08-31,1,0,0.2,0.02
200,2022-09-01,0,0,0.0,0.0
201,2022-09-02,0,0,0.0,0.0
202,2022-09-06,1,1,0.05555555555555555,0.017857142857142856
203,2022-09-07,1,1,0.05263157894736842,0.01818181818181818
204,2022-09-08,1,1,0.09090909090909091,0.017543859649122806
205,2022-09-09,1,1,0.05,0.02
206,2022-09-12,0,0,0.0,0.0
207,2022-09-13,0,0,0.0,0.0
208,2022-09-14,0,0,0.0,0.0
209,2022-09-15,1,0,0.034482758620689655,0.01818181818181818
210,2022-09-16,1,0,0.08333333333333333,0.020833333333333332
211,2022-09-19,0,1,0.0,0.0
212,2022-09-20,0,0,0.0,0.0
213,2022-09-21,1,1,0.09090909090909091,0.017241379310344827
214,2022-09-22,0,0,0.0,0.0
215,2022-09-23,0,0,0.0,0.0
216,2022-09-26,0,0,0.0,0.0
217,2022-09-27,1,1,0.07142857142857142,0.01818181818181818
218,2022-09-28,1,0,0.06666666666666667,0.018867924528301886
219,2022-09-29,0,0,0.0,0.0
220,2022-09-30,0,0,0.0,0.0
221,2022-10-03,1,1,0.08333333333333333,0.024390243902439025
222,2022-10-04,0,1,0.0,0.0
223,2022-10-05,0,0,0.0,0.0
224,2022-10-06,0,0,0.0,0.0
225,2022-10-07,0,1,0.0,0.0
226,2022-10-10,0,1,0.0,0.0
227,2022-10-11,1,1,0.125,0.01818181818181818
228,2022-10-12,1,1,0.09090909090909091,0.018867924528301886
229,2022-10-13,0,1,0.0,0.0
230,2022-10-14,0,1,0.0,0.0
231,2022-10-17,0,1,0.0,0.0
232,2022-10-18,0,1,0.0,0.0
233,2022-10-19,0,1,0.0,0.0
234,2022-10-20,1,1,0.0625,0.02127659574468085
235,2022-10-21,1,1,0.07142857142857142,0.02564102564102564
236,2022-10-24,1,1,0.07142857142857142,0.017857142857142856
237,2022-10-25,1,1,0.047619047619047616,0.02
238,2022-10-26,0,0,0.0,0.0
239,2022-10-27,1,0,0.0625,0.018867924528301886
240,2022-10-28,1,0,0.07142857142857142,0.021739130434782608
241,2022-10-31,0,0,0.0,0.0
242,2022-11-01,0,0,0.0,0.0
243,2022-11-02,1,0,0.0625,0.017543859649122806
